knot,april,august,baseline,lower_restored
11a_14,"[2,3]","[2,2]","[2,3]",False
11a_18,"[2,3]","[2,2]","[2,3]",False
11a_83,"[2,3]","[2,2]","[2,3]",False
11n_23,"[2,3]","[2,2]","[2,3]",False
12a_107,"[3,4]","[3,3]","[3,4]",False
12a_240,"[2,3]","[2,2]","[2,3]",False
12a_244,"[2,3]","[2,2]","[2,3]",False
12a_41,"[2,3]","[2,2]","[2,3]",False
12a_462,"[2,3]","[2,2]","[2,3]",False
12a_49,"[2,3]","[2,2]","[2,3]",False
12a_639,"[2,3]","[2,2]","[2,3]",False
12a_680,"[2,3]","[2,2]","[2,3]",False
12n_135,"[2,3]","[2,2]","[2,3]",False
12n_208,"[2,3]","[2,2]","[2,3]",False
12n_212,"[2,3]","[2,2]","[2,3]",False
12n_90,"[2,3]","[2,2]","[2,3]",False
13a_1069,"[1,4]","[2,3]","[1,4]",True
13a_12,"[1,3]","[2,2]","[1,3]",True
13a_120,"[1,3]","[2,2]","[1,3]",True
13a_121,"[1,3]","[2,2]","[1,3]",True
13a_133,"[1,4]","[2,3]","[1,4]",True
13a_15,"[2,3]","[2,2]","[2,3]",False
13a_1549,"[1,3]","[2,2]","[1,3]",True
13a_157,"[2,4]","[2,3]","[2,4]",False
13a_160,"[2,4]","[2,3]","[2,4]",False
13a_162,"[2,4]","[2,3]","[2,4]",False
13a_1656,"[1,3]","[2,2]","[1,3]",True
13a_1698,"[1,4]","[2,3]","[1,4]",True
13a_1712,"[1,3]","[2,2]","[1,3]",True
13a_174,"[2,4]","[2,3]","[2,4]",False
13a_179,"[2,3]","[2,2]","[2,3]",False
13a_19,"[1,3]","[2,2]","[1,3]",True
13a_195,"[1,4]","[2,3]","[1,4]",True
13a_1997,"[2,4]","[2,3]","[2,4]",False
13a_203,"[2,4]","[2,3]","[2,4]",False
13a_236,"[1,4]","[2,3]","[1,4]",True
13a_247,"[2,4]","[2,3]","[2,4]",False
13a_2634,"[2,4]","[2,3]","[2,4]",False
13a_2636,"[2,4]","[2,3]","[2,4]",False
13a_271,"[1,4]","[2,3]","[1,4]",True
13a_275,"[1,4]","[2,3]","[1,4]",True
13a_2951,"[2,3]","[2,2]","[2,3]",False
13a_3044,"[1,4]","[2,3]","[1,4]",True
13a_314,"[1,4]","[2,3]","[1,4]",True
13a_3147,"[1,3]","[2,2]","[1,3]",True
13a_3149,"[1,3]","[2,2]","[1,3]",True
13a_3177,"[1,3]","[2,2]","[1,3]",True
13a_3184,"[1,3]","[2,2]","[1,3]",True
13a_3212,"[3,4]","[3,3]","[3,4]",False
13a_3236,"[1,3]","[2,2]","[1,3]",True
13a_3268,"[1,3]","[2,2]","[1,3]",True
13a_329,"[2,4]","[2,3]","[2,4]",False
13a_339,"[1,4]","[2,3]","[1,4]",True
13a_358,"[2,4]","[2,3]","[2,4]",False
13a_369,"[2,4]","[2,3]","[2,4]",False
13a_422,"[2,3]","[2,2]","[2,3]",False
13a_523,"[1,3]","[2,2]","[1,3]",True
13a_55,"[2,3]","[2,2]","[2,3]",False
13a_568,"[2,3]","[2,2]","[2,3]",False
13a_579,"[1,3]","[2,2]","[1,3]",True
13a_616,"[3,4]","[3,3]","[3,4]",False
13a_650,"[2,4]","[2,2]","[2,4]",False
13a_656,"[1,3]","[2,2]","[1,3]",True
13a_660,"[3,4]","[3,3]","[3,4]",False
13a_825,"[3,4]","[3,3]","[3,4]",False
13a_828,"[2,3]","[2,2]","[2,3]",False
13a_863,"[1,3]","[2,2]","[1,3]",True
13n_1105,"[3,4]","[3,3]","[3,4]",False
13n_111,"[2,3]","[2,2]","[2,3]",False
13n_1111,"[1,3]","[1,2]","[1,3]",False
13n_1118,"[2,3]","[2,2]","[2,3]",False
13n_1126,"[1,3]","[1,2]","[1,3]",False
13n_1348,"[2,3]","[2,2]","[2,3]",False
13n_142,"[2,3]","[2,2]","[2,3]",False
13n_196,"[2,3]","[2,2]","[2,3]",False
13n_197,"[1,3]","[1,2]","[1,3]",False
13n_240,"[1,4]","[1,3]","[1,4]",False
13n_246,"[3,4]","[3,3]","[3,4]",False
13n_247,"[2,4]","[2,3]","[2,4]",False
13n_259,"[3,4]","[3,3]","[3,4]",False
13n_274,"[2,4]","[2,3]","[2,4]",False
13n_277,"[3,4]","[3,3]","[3,4]",False
13n_2810,"[2,3]","[2,2]","[2,3]",False
13n_299,"[1,4]","[1,3]","[1,4]",False
13n_305,"[3,4]","[3,3]","[3,4]",False
13n_3390,"[3,4]","[3,3]","[3,4]",False
13n_3733,"[2,3]","[2,2]","[2,3]",False
13n_3800,"[1,3]","[1,2]","[1,3]",False
13n_3801,"[1,3]","[1,2]","[1,3]",False
13n_3835,"[1,3]","[1,2]","[1,3]",False
13n_3836,"[1,3]","[1,2]","[1,3]",False
13n_41,"[1,3]","[1,2]","[1,3]",False
13n_42,"[2,3]","[2,2]","[2,3]",False
13n_4588,"[1,4]","[1,3]","[1,4]",False
13n_4894,"[3,4]","[3,3]","[3,4]",False
13n_616,"[3,4]","[3,3]","[3,4]",False
13n_669,"[3,4]","[3,3]","[3,4]",False
13n_675,"[2,4]","[2,3]","[2,4]",False
13n_709,"[3,4]","[3,3]","[3,4]",False
13n_735,"[2,4]","[2,3]","[2,4]",False
13n_743,"[1,3]","[1,2]","[1,3]",False
13n_868,"[2,4]","[2,3]","[2,4]",False
13n_955,"[1,3]","[1,2]","[1,3]",False
13n_982,"[3,4]","[3,3]","[3,4]",False
